#	Site	Effect performed	In/Out	Plan line	Declared port	Verdict	Classification	Disposition gap ID	Review basis
1	examples/distributed_history/ecommerce_backend/domain.py:164	"lexical hit not semantically classified: carts.setdefault(row[""account_id""], []).append(row[""sku""])"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
2	examples/distributed_history/ecommerce_backend/service.py:289	"lexical hit not semantically classified: port = int(os.environ.get(""ECOMMERCE_PORT"", ""18080""))"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
3	examples/distributed_history/ecommerce_backend/service.py:290	"lexical hit not semantically classified: db_path = os.environ.get(""ECOMMERCE_DB"", ""/tmp/ecommerce-example.db"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
4	examples/distributed_history/ecommerce_backend/service.py:291	"lexical hit not semantically classified: EcommerceHandler.role = os.environ.get(""ECOMMERCE_ROLE"", ""monolith"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
5	examples/distributed_history/ecommerce_backend/service.py:312	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_DATABASE_URL"", ""http://database-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
6	examples/distributed_history/ecommerce_backend/service.py:316	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_QUEUE_URL"", ""http://queue-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
7	examples/distributed_history/ecommerce_backend/service.py:320	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_ACCOUNT_URL"", ""http://account-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
8	examples/distributed_history/ecommerce_backend/service.py:324	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_CART_URL"", ""http://cart-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
9	examples/distributed_history/ecommerce_backend/service.py:328	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_CHECKOUT_URL"", ""http://checkout-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
10	examples/distributed_history/ecommerce_backend/service.py:332	"lexical hit not semantically classified: return os.environ.get(""ECOMMERCE_WORKER_URL"", ""http://worker-service"")"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
11	examples/distributed_history/scripts/regenerate_tlc_cases.py:26	lexical hit not semantically classified: env = os.environ.copy()	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
