#	Site	Effect performed	In/Out	Plan line	Declared port	Verdict	Classification	Disposition gap ID	Review basis
1	examples/distributed_history/ecommerce_backend/domain.py:28	lexical hit not semantically classified: self._conn = sqlite3.connect(self.db_path, check_same_thread=False)	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
2	examples/distributed_history/ecommerce_backend/service.py:8	lexical hit not semantically classified: import urllib.error	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
3	examples/distributed_history/ecommerce_backend/service.py:9	lexical hit not semantically classified: import urllib.request	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
4	examples/distributed_history/ecommerce_backend/service.py:10	lexical hit not semantically classified: from urllib.parse import urlparse	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
5	examples/distributed_history/ecommerce_backend/service.py:57	"lexical hit not semantically classified: request = urllib.request.Request(base_url.rstrip(""/"") + path, data=data, headers=headers, method=method)"	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
6	examples/distributed_history/ecommerce_backend/service.py:61	lexical hit not semantically classified: with urllib.request.urlopen(request, timeout=5) as response:	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
7	examples/distributed_history/ecommerce_backend/service.py:63	lexical hit not semantically classified: except urllib.error.HTTPError as exc:	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
8	examples/distributed_history/ecommerce_backend/service.py:65	lexical hit not semantically classified: except (OSError, TimeoutError, urllib.error.URLError):	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
9	examples/distributed_history/specs/program_model/adapters.py:6	lexical hit not semantically classified: import urllib.error	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
10	examples/distributed_history/specs/program_model/adapters.py:7	lexical hit not semantically classified: import urllib.request	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
11	examples/distributed_history/specs/program_model/adapters.py:107	lexical hit not semantically classified: with urllib.request.urlopen(base_url + path, timeout=5) as response:	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
12	examples/distributed_history/specs/program_model/adapters.py:112	lexical hit not semantically classified: request = urllib.request.Request(	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
13	examples/distributed_history/specs/program_model/adapters.py:119	lexical hit not semantically classified: with urllib.request.urlopen(request, timeout=5) as response:	out-of-scope	ticket_plan.yaml:648-658	none mapped	undeclared	out_of_scope_lexical_inventory		INFERRED exact-path scope; source not read
